<<<<<<< HEAD
,index,detail_id,order_id,dishes_id,dishes_name,itemis_add,counts,amounts,place_order_time,add_inprice,picture_file,emp_id,order_day,sales,weekday
0,0,2956,417,610062,蒜蓉生蚝,0,1.0,49.0,2016-08-01 11:05:00,0,caipu/104001.jpg,1442,1,49.0,七
1,1,2958,417,609957,蒙古烤羊腿,0,1.0,48.0,2016-08-01 11:07:00,0,caipu/202003.jpg,1442,1,48.0,七
2,2,2961,417,609950,大蒜苋菜,0,1.0,30.0,2016-08-01 11:07:00,0,caipu/303001.jpg,1442,1,30.0,七
3,3,2966,417,610038,芝麻烤紫菜,0,1.0,25.0,2016-08-01 11:11:00,0,caipu/105002.jpg,1442,1,25.0,七
4,4,2968,417,610003,蒜香包,0,1.0,13.0,2016-08-01 11:11:00,0,caipu/503002.jpg,1442,1,13.0,七
5,5,1899,301,610019,白斩鸡,0,1.0,88.0,2016-08-01 11:15:00,0,caipu/204002.jpg,1095,1,88.0,七
6,6,1902,301,609991,香烤牛排,0,1.0,55.0,2016-08-01 11:19:00,0,caipu/201001.jpg,1095,1,55.0,七
7,7,1906,301,609983,干锅田鸡,0,1.0,88.0,2016-08-01 11:22:00,0,caipu/205003.jpg,1095,1,88.0,七
8,8,1907,301,609981,桂圆枸杞鸽子汤,0,1.0,48.0,2016-08-01 11:22:00,0,caipu/205001.jpg,1095,1,48.0,七
9,9,1908,301,610030,番茄有机花菜,0,1.0,32.0,2016-08-01 11:23:00,0,caipu/304004.jpg,1095,1,32.0,七
10,10,1910,301,610011,白饭/大碗,0,1.0,10.0,2016-08-01 11:31:00,0,caipu/601005.jpg,1095,1,10.0,七
11,11,2916,413,609966,芝士烩波士顿龙虾,0,1.0,175.0,2016-08-01 12:42:00,0,caipu/101001.jpg,1147,1,175.0,七
12,12,2919,413,609965,葱姜炒蟹,0,1.0,109.0,2016-08-01 12:43:00,0,caipu/102005.jpg,1147,1,109.0,七
13,13,2921,413,609936,皮蛋瘦肉粥,0,1.0,16.0,2016-08-01 12:43:00,0,caipu/602002.jpg,1147,1,16.0,七
14,14,2923,413,609978,爆炒鳝碌,0,1.0,55.0,2016-08-01 12:44:00,0,caipu/106003.jpg,1147,1,55.0,七
15,15,2925,413,609983,干锅田鸡,0,1.0,88.0,2016-08-01 12:44:00,0,caipu/205003.jpg,1147,1,88.0,七
16,16,2927,413,610050,番茄甘蓝,0,1.0,33.0,2016-08-01 12:45:00,0,caipu/301004.jpg,1147,1,33.0,七
17,17,2926,413,609984,重庆特色油烧兔,0,1.0,69.0,2016-08-01 12:45:00,0,caipu/205004.jpg,1147,1,69.0,七
18,18,2928,413,610013,番茄炖秋葵,0,1.0,35.0,2016-08-01 12:46:00,0,caipu/302002.jpg,1147,1,35.0,七
19,19,2930,413,610032,长城窖酿解百纳红酒干红葡萄酒,0,1.0,35.0,2016-08-01 12:48:00,0,caipu/401001.jpg,1147,1,35.0,七
20,20,2932,413,609973,紫薯面包卷,0,1.0,20.0,2016-08-01 12:49:00,0,caipu/502003.jpg,1147,1,20.0,七
21,21,2934,413,610007,桂圆肉红豆八宝饭,0,1.0,39.0,2016-08-01 12:50:00,0,caipu/601001.jpg,1147,1,39.0,七
22,22,2938,415,609964,避风塘炒蟹,0,1.0,48.0,2016-08-01 12:51:00,0,caipu/102004.jpg,1166,1,48.0,七
23,23,2935,413,609992,番茄炖牛腩,0,1.0,35.0,2016-08-01 12:51:00,0,caipu/201002.jpg,1147,1,35.0,七
24,24,2936,413,610012,香菇鹌鹑蛋,0,1.0,39.0,2016-08-01 12:52:00,0,caipu/302001.jpg,1147,1,39.0,七
25,25,2940,415,610064,花蛤蒸蛋,0,1.0,37.0,2016-08-01 12:52:00,0,caipu/104003.jpg,1166,1,37.0,七
26,26,2937,413,610023,啤酒鸭,0,1.0,48.0,2016-08-01 12:53:00,0,caipu/204006.jpg,1147,1,48.0,七
27,27,2939,413,609931,焖猪手,0,1.0,58.0,2016-08-01 12:54:00,0,caipu/203002.jpg,1147,1,58.0,七
28,28,2643,392,609930,豌豆薯仔猪骨汤,0,1.0,39.0,2016-08-01 12:58:00,0,caipu/203001.jpg,1094,1,39.0,七
29,29,2942,415,609959,小炒羊腰,0,1.0,36.0,2016-08-01 12:59:00,0,caipu/202005.jpg,1166,1,36.0,七
30,30,2652,392,609936,皮蛋瘦肉粥,0,1.0,16.0,2016-08-01 12:59:00,0,caipu/602002.jpg,1094,1,16.0,七
31,31,2650,392,609935,山药养生粥,0,1.0,19.0,2016-08-01 12:59:00,0,caipu/602001.jpg,1094,1,19.0,七
32,32,2943,415,609957,蒙古烤羊腿,0,1.0,48.0,2016-08-01 12:59:00,0,caipu/202003.jpg,1166,1,48.0,七
33,33,2654,392,609937,冰糖红豆薏米粥,0,1.0,15.0,2016-08-01 12:59:00,0,caipu/602003.jpg,1094,1,15.0,七
34,34,2649,392,609934,芹菜炒腰花,0,1.0,18.0,2016-08-01 12:59:00,0,caipu/203005.jpg,1094,1,18.0,七
35,35,2656,392,609938,小米南瓜粥,0,1.0,13.0,2016-08-01 12:59:00,0,caipu/602004.jpg,1094,1,13.0,七
36,36,2657,392,609939,香菇鸡肉粥,0,1.0,15.0,2016-08-01 13:00:00,0,caipu/602005.jpg,1094,1,15.0,七
37,37,2664,392,609943,剁椒鱼头,0,1.0,55.0,2016-08-01 13:00:00,0,caipu/103004.jpg,1094,1,55.0,七
38,38,2667,392,609945,农夫山泉NFC果汁100%橙汁,0,1.0,6.0,2016-08-01 13:00:00,0,caipu/404001.jpg,1094,1,6.0,七
39,39,2665,392,609944,水煮鱼,0,1.0,65.0,2016-08-01 13:00:00,0,caipu/103005.jpg,1094,1,65.0,七
40,40,2946,415,610016,五彩藕苗,0,1.0,35.0,2016-08-01 13:01:00,0,caipu/302005.jpg,1166,1,35.0,七
41,41,2669,392,609946,谷稻小庄 ,0,1.0,38.0,2016-08-01 13:01:00,0,caipu/404002.jpg,1094,1,38.0,七
42,42,2675,392,609948,露露无糖杏仁露,0,1.0,7.0,2016-08-01 13:02:00,0,caipu/404004.jpg,1094,1,7.0,七
